,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Player,Nation,Pos,Age,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,30,36,35,3136,22,3,2,2,3,1,0.63,0.09,0.72,0.57,0.66,15.6,14.1,3.0,0.45,0.09,0.54,0.41,0.49,Matches
David Luiz\David-Luiz,br BRA,DF,32,33,32,2809,2,1,0,0,5,2,0.06,0.03,0.10,0.06,0.10,1.8,1.8,1.0,0.06,0.03,0.09,0.06,0.09,Matches
Bernd Leno\Bernd-Leno,de GER,GK,27,30,30,2649,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Granit Xhaka\Granit-Xhaka,ch SUI,MF,26,31,30,2586,1,2,0,0,10,0,0.03,0.07,0.10,0.03,0.10,0.4,0.4,1.0,0.01,0.03,0.05,0.01,0.05,Matches
Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,24,31,22,2010,5,6,1,1,4,0,0.22,0.27,0.49,0.18,0.45,4.7,3.9,4.4,0.21,0.20,0.41,0.17,0.37,Matches
Alexandre Lacazette\Alexandre-Lacazette,fr FRA,FW,28,30,22,1874,10,4,0,0,8,0,0.48,0.19,0.67,0.48,0.67,8.6,8.6,3.1,0.41,0.15,0.56,0.41,0.56,Matches
Bukayo Saka\Bukayo-Saka,eng ENG,DFFW,17,26,19,1753,1,5,0,0,6,0,0.05,0.26,0.31,0.05,0.31,1.3,1.3,3.6,0.07,0.19,0.25,0.07,0.25,Matches
Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,20,24,19,1748,0,1,0,0,6,0,0.00,0.05,0.05,0.00,0.05,0.6,0.6,1.3,0.03,0.07,0.10,0.03,0.10,Matches
Sead Kolašinac\Sead-Kolasinac,ba BIH,DF,26,26,19,1701,0,2,0,0,4,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.0,0.03,0.05,0.09,0.03,0.09,Matches
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,gr GRE,DF,31,19,19,1696,2,0,0,0,6,0,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.2,0.05,0.01,0.06,0.05,0.06,Matches
Dani Ceballos\Dani-Ceballos,es ESP,MF,22,24,18,1692,0,2,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.5,0.5,1.8,0.03,0.10,0.12,0.03,0.12,Matches
Mesut Özil\Mesut-Ozil,de GER,MF,30,18,18,1438,1,2,0,0,1,0,0.06,0.13,0.19,0.06,0.19,1.3,1.3,2.3,0.08,0.14,0.22,0.08,0.22,Matches
Lucas Torreira\Lucas-Torreira,uy URU,MF,23,29,17,1512,1,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.6,1.6,1.1,0.09,0.07,0.16,0.09,0.16,Matches
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,eng ENG,DF,21,20,15,1386,0,2,0,0,6,1,0.00,0.13,0.13,0.00,0.13,0.3,0.3,1.4,0.02,0.09,0.11,0.02,0.11,Matches
Shkodran Mustafi\Shkodran-Mustafi,de GER,DF,27,15,13,1207,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,0.8,0.8,0.0,0.06,0.00,0.06,0.06,0.06,Matches
Héctor Bellerín\Hector-Bellerin,es ESP,DF,24,15,13,1158,1,0,0,0,2,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.3,0.04,0.03,0.06,0.04,0.06,Matches
Calum Chambers\Calum-Chambers,eng ENG,DF,24,14,13,1102,1,1,0,0,5,0,0.08,0.08,0.16,0.08,0.16,0.8,0.8,0.7,0.06,0.06,0.12,0.06,0.12,Matches
Kieran Tierney\Kieran-Tierney,sco SCO,DF,22,15,12,989,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.2,0.2,1.1,0.02,0.10,0.12,0.02,0.12,Matches
Joe Willock\Joe-Willock,eng ENG,MFFW,19,29,8,857,1,1,0,0,2,0,0.11,0.11,0.21,0.11,0.21,2.3,2.3,0.8,0.24,0.09,0.33,0.24,0.33,Matches
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,26,9,8,771,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Eddie Nketiah\Eddie-Nketiah,eng ENG,FW,20,13,7,633,2,0,0,0,0,1,0.28,0.00,0.28,0.28,0.28,3.2,3.2,0.7,0.46,0.09,0.56,0.46,0.56,Matches
Reiss Nelson\Reiss-Nelson,eng ENG,FW,19,17,7,631,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.9,0.9,0.7,0.12,0.10,0.22,0.12,0.22,Matches
Martinelli\Martinelli,br BRA,FW,18,14,6,663,3,0,0,0,1,0,0.41,0.00,0.41,0.41,0.41,2.2,2.2,0.2,0.30,0.03,0.33,0.30,0.33,Matches
Rob Holding\Rob-Holding,eng ENG,DF,23,8,6,581,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
Nacho Monreal\Nacho-Monreal,es ESP,DF,33,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.03,0.08,0.11,0.03,0.11,Matches
Cédric Soares\Cedric-Soares,pt POR,DF,27,5,3,249,1,0,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.0,0.0,0.0,0.01,0.02,0.02,0.01,0.02,Matches
Pablo Marí\Pablo-Mari,es ESP,DF,25,2,2,113,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Henrikh Mkhitaryan\Henrikh-Mkhitaryan,am ARM,FW,30,3,1,112,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.19,0.18,0.37,0.19,0.37,Matches
Emile Smith-Rowe\Emile-Smith-Rowe,eng ENG,MF,19,2,1,97,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Tyreece John-Jules\Tyreece-John-Jules,eng ENG,FW,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matt Macey\Matt-Macey,eng ENG,GK,24,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Konstantinos Mavropanos\Konstantinos-Mavropanos,gr GRE,DF,21,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Zechariah Medley\Zechariah-Medley,eng ENG,DF,19,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Matthew Smith\Matthew-Smith,eng ENG,MF,18,0,0,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,,38,418,3420,56,35,3,3,88,5,1.47,0.92,2.39,1.39,2.32,49.1,46.8,30.2,1.29,0.79,2.09,1.23,2.03,