Squad,# Pl,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Arsenal,29,19802,17930,1872,490,36,3508,528,694,231,66,75,36,13732,2777,3293,6362,11512,608,753,286,16349,63,321,258,512
Aston Villa,28,15352,13359,1993,558,20,2719,589,791,200,106,37,13,8757,2527,4068,5444,7695,697,788,253,11530,60,379,218,402
Bournemouth,27,15972,14131,1841,456,48,3017,355,641,194,92,55,16,9056,2920,3996,4713,8795,888,791,255,11942,54,363,241,495
Brighton,25,19547,17756,1791,397,29,3503,644,687,178,65,66,31,12239,3307,4001,3984,13134,792,849,339,15695,66,372,308,507
Burnley,22,14227,12383,1844,421,28,2748,476,734,170,151,5,4,6866,2505,4856,4410,7169,847,861,255,9926,79,394,178,412
Chelsea,27,24530,22696,1834,399,40,4313,738,859,248,85,87,22,17103,3400,4027,4352,17933,723,868,255,20663,61,321,262,516
Crystal Palace,25,15931,13971,1960,509,16,3100,435,581,177,105,46,11,9548,2583,3800,3945,9618,677,873,279,12137,49,337,279,460
Everton,24,17177,15299,1878,463,42,2853,606,805,203,92,79,18,10243,2910,4024,4825,9872,776,842,266,13240,48,377,260,540
Leicester City,24,21153,19243,1910,490,63,3453,566,782,221,55,106,21,14239,3144,3770,4777,14113,725,878,254,17332,55,363,290,516
Liverpool,24,25110,23231,1879,437,92,3733,881,885,256,60,122,13,16785,3604,4721,5544,17096,885,877,270,20887,48,390,303,541
Manchester City,24,27672,26098,1574,352,106,4132,807,919,297,101,63,26,21035,3351,3286,10230,15455,682,686,290,24266,63,274,347,535
Manchester Utd,29,21171,19344,1827,470,43,3647,613,630,202,72,70,20,15138,2858,3175,5731,13433,596,817,249,17543,52,308,337,564
Newcastle Utd,28,14207,12437,1770,476,24,2794,563,578,151,61,58,12,8013,2147,4047,4099,7994,687,709,199,10502,70,309,228,382
Norwich City,30,18291,16438,1853,462,38,3630,466,474,162,66,78,10,12108,2925,3258,5432,10799,649,767,284,14610,44,351,275,448
Sheffield Utd,26,16410,14598,1812,374,22,3106,622,864,212,142,29,15,8791,2927,4692,5110,8608,951,880,185,12054,72,449,204,497
Southampton,25,16900,14943,1957,448,39,3169,479,689,209,89,84,26,9386,2863,4651,3119,10989,1045,947,213,12481,51,404,245,444
Tottenham,29,19704,17883,1821,464,48,3327,496,636,199,92,52,24,13099,2949,3656,5408,12079,739,784,225,15794,62,266,314,488
Watford,26,15413,13611,1802,405,29,2720,495,667,167,68,50,25,8148,2882,4383,3829,9041,866,835,208,11207,62,297,245,429
West Ham,29,16488,14651,1837,439,35,3153,501,732,190,94,53,25,9317,2744,4427,4629,9427,769,816,223,12388,56,308,250,533
Wolves,21,17896,16119,1777,403,34,3044,705,695,193,41,83,12,10118,3311,4467,3845,11600,863,821,237,14072,45,328,255,470