Squad,# Pl,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arsenal,29,56,401,144,35.9,10.55,3.79,0.13,0.37,19,3,3,49.1,46.8,0.12,+6.9,+6.2
Aston Villa,28,40,453,146,32.2,11.92,3.84,0.09,0.27,17,1,3,40.2,37.9,0.09,-0.2,+1.1
Bournemouth,27,38,384,116,30.2,10.11,3.05,0.09,0.29,21,4,4,42.7,39.7,0.11,-4.7,-5.7
Brighton,25,35,456,137,30.0,12.00,3.61,0.07,0.25,11,1,2,40.9,39.4,0.09,-5.9,-5.4
Burnley,22,41,384,124,32.3,10.11,3.26,0.10,0.31,17,3,3,44.2,42.0,0.11,-3.2,-4.0
Chelsea,27,69,619,210,33.9,16.29,5.53,0.10,0.30,27,7,7,66.6,61.7,0.10,+2.4,+0.3
Crystal Palace,25,29,372,116,31.2,9.79,3.05,0.07,0.22,15,3,3,33.8,31.6,0.09,-4.8,-5.6
Everton,24,42,465,155,33.3,12.24,4.08,0.09,0.26,20,1,1,48.3,47.5,0.11,-6.3,-6.5
Leicester City,24,65,533,181,34.0,14.03,4.76,0.11,0.33,20,5,7,60.7,55.4,0.11,+4.3,+4.6
Liverpool,24,83,585,222,37.9,15.39,5.84,0.13,0.35,18,5,5,70.2,66.4,0.12,+12.8,+11.6
Manchester City,24,100,730,246,33.7,19.21,6.47,0.13,0.38,27,6,11,93.0,84.7,0.12,+7.0,+9.3
Manchester Utd,29,65,528,200,37.9,13.89,5.26,0.10,0.28,33,10,14,59.7,49.1,0.10,+5.3,+5.9
Newcastle Utd,28,38,397,127,32.0,10.45,3.34,0.10,0.30,14,0,1,33.0,32.2,0.08,+5.0,+5.8
Norwich City,30,25,409,124,30.3,10.76,3.26,0.06,0.19,16,2,2,38.1,36.7,0.09,-13.1,-13.7
Sheffield Utd,26,36,353,109,30.9,9.29,2.87,0.10,0.32,4,1,1,41.6,40.8,0.12,-5.6,-5.8
Southampton,25,51,497,169,34.0,13.08,4.45,0.10,0.29,27,2,5,53.7,49.7,0.10,-2.7,-0.7
Tottenham,29,56,439,155,35.3,11.55,4.08,0.12,0.34,21,3,4,45.5,42.4,0.10,+10.5,+10.6
Watford,26,35,410,114,27.8,10.79,3.00,0.07,0.25,18,7,8,45.7,39.6,0.10,-10.7,-11.6
West Ham,29,49,414,157,37.9,10.89,4.13,0.11,0.29,13,4,4,46.4,43.4,0.11,+2.6,+1.6
Wolves,21,49,453,142,31.3,11.92,3.74,0.10,0.32,12,4,4,46.6,43.6,0.10,+2.4,+1.4